"sprint_day","date","time_ist","timezone","platform","surface","format","frames","language","theme","delivery_id","caption","creative_brief","primary_action","proposed_redirect","link_status","fallback","status","asset_paths","posted_url","published_at_ist"
"3","2026-09-08","09:00","Asia/Kolkata","x","feed","card","1","en","Show emotion through action","2609_d08_x_card_en_sprint2_am_show_emotion_through_action","Writing exercise: replace “He was happy” with one action a reader could see. No emotion words. What would he do?

#writon #writingcommunity #amwriting","1080x1080 original card. Hook: Show the worry before you name it. Adapt it specifically to the morning caption; do not repeat the evening creative.","save","","not_applicable","All examples are original WritOn exercise copy; no author attribution.","planned_draft","","",""
"3","2026-09-08","12:30","Asia/Kolkata","ig","story","story","1","en","Show emotion through action","2609_d08_ig_story_en_sprint2_midday_show_emotion_through_action","What do you notice first in a scene?

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","One 1080x1920 Story canvas with a rendered 1080x1080 card placed inside safe margins. Question: What do you notice first in a scene? Poll choices if supported: Dialogue / Small actions. No sticker automation workaround; otherwise use the question graphic.","poll","","not_applicable","All examples are original WritOn exercise copy; no author attribution.","planned_draft","","",""
"3","2026-09-08","19:30","Asia/Kolkata","ig","feed","carousel","1","en","Show emotion through action","2609_d08_ig_carousel_en_sprint2_main_show_emotion_through_action","A small action can carry an emotion. Instead of naming a feeling, let the reader notice a gesture. Swipe for a brand-written example, then try the exercise in your next draft. Save this for your next writing session.

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","Five panels, 1080x1350 each. Cover: Show the worry before you name it.
1. Flat example: She was nervous.
2. Brand-written example: She folded the same receipt until it split.
3. A gesture can suggest emotion without naming it.
4. Try changing He was happy into one visible action.
5. Save this exercise for your next draft.
Carousel implementation: combine the cover with item 1; use items 2-5 for panels 2-5. Single-card implementation: headline plus the three short lines; no carousel label.","save","","not_applicable","All examples are original WritOn exercise copy; no author attribution.","planned_draft","","",""
"3","2026-09-08","20:30","Asia/Kolkata","x","feed","card","1","en","Show emotion through action","2609_d08_x_card_en_sprint2_pm_show_emotion_through_action","Draft check: underline one sentence that names an emotion. Try a gesture in its place. Keep whichever version sounds more like your character.

#writon #writingcommunity #amwriting","1080x1080 second original card. Use the evening caption's practical idea as the headline. Do not reuse the morning caption or image unchanged.","save","","not_applicable","All examples are original WritOn exercise copy; no author attribution.","planned_draft","","",""
"3","2026-09-08","20:45","Asia/Kolkata","ig","story","story","2","en","Show emotion through action","2609_d08_ig_story_en_sprint2_evening_show_emotion_through_action","Show the worry before you name it.

Use tonight's exercise or question from the feed post.

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","Two 1080x1920 Story canvases, each containing an original rendered card. Frame 1: one useful detail from today's feed. Frame 2: the daily question or save/practice reminder. Do not show invented replies or counts. Localize this copy to en during review.","save","","not_applicable","All examples are original WritOn exercise copy; no author attribution.","planned_draft","","",""
"4","2026-09-09","09:00","Asia/Kolkata","x","feed","card","1","mr","Marathi memory prompt","2609_d09_x_card_mr_sprint2_am_marathi_memory_prompt","लेखन सराव: “पावसाचा वास आला आणि एक जुनी आठवण जागी झाली.” पुढची दोन वाक्ये लिहा.

#writon #मराठीसाहित्य #लेखन","1080x1080 original card. Hook: पावसाचा वास आला आणि एक जुनी आठवण जागी झाली. Adapt it specifically to the morning caption; do not repeat the evening creative.","participation","","not_applicable","English: The smell of rain brought back a memory. What was it? Write the next two sentences.","planned_draft","","",""
"4","2026-09-09","12:30","Asia/Kolkata","ig","story","story","1","mr","Marathi memory prompt","2609_d09_ig_story_mr_sprint2_midday_marathi_memory_prompt","कथेची सुरुवात कशातून कराल?

#writon #मराठी #मराठीसाहित्य #लेखन #writingcommunity","One 1080x1920 Story canvas with a rendered 1080x1080 card placed inside safe margins. Question: कथेची सुरुवात कशातून कराल? Poll choices if supported: आठवण / कल्पना. No sticker automation workaround; otherwise use the question graphic.","poll","","not_applicable","English: The smell of rain brought back a memory. What was it? Write the next two sentences.","planned_draft","","",""
"4","2026-09-09","19:30","Asia/Kolkata","ig","feed","card","1","mr","Marathi memory prompt","2609_d09_ig_card_mr_sprint2_main_marathi_memory_prompt","आजचा लेखन सराव: “पावसाचा वास आला आणि एक जुनी आठवण जागी झाली.” ती आठवण कोणती होती? पुढची दोन वाक्ये कमेंटमध्ये लिहा. हा WritOn चा लेखन संकेत आहे.

#writon #मराठी #मराठीसाहित्य #लेखन #writingcommunity","One 1080x1080 card. Cover: पावसाचा वास आला आणि एक जुनी आठवण जागी झाली.
1. लेखन सराव
2. ती आठवण कोणती होती?
3. पुढची दोन वाक्ये लिहा.
Carousel implementation: combine the cover with item 1; use items 2-5 for panels 2-5. Single-card implementation: headline plus the three short lines; no carousel label.","participation","","not_applicable","English: The smell of rain brought back a memory. What was it? Write the next two sentences.","planned_draft","","",""
"4","2026-09-09","20:30","Asia/Kolkata","x","feed","card","1","mr","Marathi memory prompt","2609_d09_x_card_mr_sprint2_pm_marathi_memory_prompt","एखादी आठवण लिहिताना आधी एक तपशील निवडा: वास, आवाज किंवा जागा. आज तुमच्या कथेत कोणता तपशील येईल?

#writon #मराठीसाहित्य #लेखन","1080x1080 second original card. Use the evening caption's practical idea as the headline. Do not reuse the morning caption or image unchanged.","participation","","not_applicable","English: The smell of rain brought back a memory. What was it? Write the next two sentences.","planned_draft","","",""
"4","2026-09-09","20:45","Asia/Kolkata","ig","story","story","2","mr","Marathi memory prompt","2609_d09_ig_story_mr_sprint2_evening_marathi_memory_prompt","पावसाचा वास आला आणि एक जुनी आठवण जागी झाली.

Use tonight's exercise or question from the feed post.

#writon #मराठी #मराठीसाहित्य #लेखन #writingcommunity","Two 1080x1920 Story canvases, each containing an original rendered card. Frame 1: one useful detail from today's feed. Frame 2: the daily question or save/practice reminder. Do not show invented replies or counts. Localize this copy to mr during review.","participation","","not_applicable","English: The smell of rain brought back a memory. What was it? Write the next two sentences.","planned_draft","","",""
"5","2026-09-10","09:00","Asia/Kolkata","x","feed","card","1","en","Opening-line lab; optional verified author feature","2609_d10_x_card_en_sprint2_am_opening_line_lab","Choose a familiar place. Add one detail that does not belong. What has changed in your scene?

#writon #writingcommunity #amwriting","1080x1080 original card. Hook: Give an ordinary place one unexpected detail. Adapt it specifically to the morning caption; do not repeat the evening creative.","participation","","not_applicable","This original exercise is the default. A consent-cleared human author spotlight may replace the full package; never invent the author, excerpt, biography, or endorsement.","planned_draft","","",""
"5","2026-09-10","12:30","Asia/Kolkata","ig","story","story","1","en","Opening-line lab; optional verified author feature","2609_d10_ig_story_en_sprint2_midday_opening_line_lab","Which setting would you choose?

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","One 1080x1920 Story canvas with a rendered 1080x1080 card placed inside safe margins. Question: Which setting would you choose? Poll choices if supported: A station / An old house. No sticker automation workaround; otherwise use the question graphic.","poll","","not_applicable","This original exercise is the default. A consent-cleared human author spotlight may replace the full package; never invent the author, excerpt, biography, or endorsement.","planned_draft","","",""
"5","2026-09-10","19:30","Asia/Kolkata","ig","feed","carousel","1","en","Opening-line lab; optional verified author feature","2609_d10_ig_carousel_en_sprint2_main_opening_line_lab","A familiar place becomes interesting when one detail feels wrong. Swipe for an original WritOn exercise, then write two lines that make a reader want the third.

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","Five panels, 1080x1350 each. Cover: Give an ordinary place one unexpected detail.
1. Choose a familiar place: a kitchen, a station, or a classroom.
2. Add one detail that does not belong.
3. Brand-written example: The kettle whistled in a house with no electricity.
4. Write the next two lines without explaining everything.
5. Try the exercise in your next draft.
Carousel implementation: combine the cover with item 1; use items 2-5 for panels 2-5. Single-card implementation: headline plus the three short lines; no carousel label.","participation","","not_applicable","This original exercise is the default. A consent-cleared human author spotlight may replace the full package; never invent the author, excerpt, biography, or endorsement.","planned_draft","","",""
"5","2026-09-10","20:30","Asia/Kolkata","x","feed","card","1","en","Opening-line lab; optional verified author feature","2609_d10_x_card_en_sprint2_pm_opening_line_lab","Try an opening that gives the reader something to notice before it explains the situation. Two lines are enough for tonight's exercise.

#writon #writingcommunity #amwriting","1080x1080 second original card. Use the evening caption's practical idea as the headline. Do not reuse the morning caption or image unchanged.","participation","","not_applicable","This original exercise is the default. A consent-cleared human author spotlight may replace the full package; never invent the author, excerpt, biography, or endorsement.","planned_draft","","",""
"5","2026-09-10","20:45","Asia/Kolkata","ig","story","story","2","en","Opening-line lab; optional verified author feature","2609_d10_ig_story_en_sprint2_evening_opening_line_lab","Give an ordinary place one unexpected detail.

Use tonight's exercise or question from the feed post.

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","Two 1080x1920 Story canvases, each containing an original rendered card. Frame 1: one useful detail from today's feed. Frame 2: the daily question or save/practice reminder. Do not show invented replies or counts. Localize this copy to en during review.","participation","","not_applicable","This original exercise is the default. A consent-cleared human author spotlight may replace the full package; never invent the author, excerpt, biography, or endorsement.","planned_draft","","",""
"6","2026-09-11","09:00","Asia/Kolkata","x","feed","card","1","en","Reader preferences","2609_d11_x_card_en_sprint2_am_reader_preferences","What keeps you reading: a question, a character, or the language? Choose one and tell us why.

#writon #writingcommunity #amwriting","1080x1080 original card. Hook: What makes you read the next page? Adapt it specifically to the morning caption; do not repeat the evening creative.","participation","","not_applicable","Do not present poll options as available catalog inventory without checking.","planned_draft","","",""
"6","2026-09-11","12:30","Asia/Kolkata","ig","story","story","1","en","Reader preferences","2609_d11_ig_story_en_sprint2_midday_reader_preferences","Tonight's reading mood?

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","One 1080x1920 Story canvas with a rendered 1080x1080 card placed inside safe margins. Question: Tonight's reading mood? Poll choices if supported: A short story / A poem. No sticker automation workaround; otherwise use the question graphic.","poll","","not_applicable","Do not present poll options as available catalog inventory without checking.","planned_draft","","",""
"6","2026-09-11","19:30","Asia/Kolkata","ig","feed","carousel","1","en","Reader preferences","2609_d11_ig_carousel_en_sprint2_main_reader_preferences","Readers notice different things. Some stay for the mystery, some for the character, some for the language. Which one makes you read the next page? Tell us one reason.

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","Five panels, 1080x1350 each. Cover: What makes you read the next page?
1. A question you need answered?
2. A character you care about?
3. A sentence you want to read twice?
4. Tell us which one matters most to you.
5. Comment with one reason you keep reading.
Carousel implementation: combine the cover with item 1; use items 2-5 for panels 2-5. Single-card implementation: headline plus the three short lines; no carousel label.","participation","","not_applicable","Do not present poll options as available catalog inventory without checking.","planned_draft","","",""
"6","2026-09-11","20:30","Asia/Kolkata","x","feed","card","1","en","Reader preferences","2609_d11_x_card_en_sprint2_pm_reader_preferences","A reading exercise for tonight: notice the exact sentence that makes you want to continue. What does it promise the reader?

#writon #writingcommunity #amwriting","1080x1080 second original card. Use the evening caption's practical idea as the headline. Do not reuse the morning caption or image unchanged.","participation","","not_applicable","Do not present poll options as available catalog inventory without checking.","planned_draft","","",""
"6","2026-09-11","20:45","Asia/Kolkata","ig","story","story","2","en","Reader preferences","2609_d11_ig_story_en_sprint2_evening_reader_preferences","What makes you read the next page?

Use tonight's exercise or question from the feed post.

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","Two 1080x1920 Story canvases, each containing an original rendered card. Frame 1: one useful detail from today's feed. Frame 2: the daily question or save/practice reminder. Do not show invented replies or counts. Localize this copy to en during review.","participation","","not_applicable","Do not present poll options as available catalog inventory without checking.","planned_draft","","",""
"7","2026-09-12","09:00","Asia/Kolkata","x","feed","card","1","en","Week-one practice recap","2609_d12_x_card_en_sprint2_am_week_one_practice_recap","Three ways to begin: a character's want, a small gesture, or one unexpected detail. Which feels easiest to try?

#writon #writingcommunity #amwriting","1080x1080 original card. Hook: Three small ways to begin writing. Adapt it specifically to the morning caption; do not repeat the evening creative.","save","","not_applicable","If no audience submissions exist, use this practice recap. Do not claim a community response or invent participation counts.","planned_draft","","",""
"7","2026-09-12","12:30","Asia/Kolkata","ig","story","story","1","en","Week-one practice recap","2609_d12_ig_story_en_sprint2_midday_week_one_practice_recap","Which exercise should return?

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","One 1080x1920 Story canvas with a rendered 1080x1080 card placed inside safe margins. Question: Which exercise should return? Poll choices if supported: Opening lines / Small gestures. No sticker automation workaround; otherwise use the question graphic.","poll","","not_applicable","If no audience submissions exist, use this practice recap. Do not claim a community response or invent participation counts.","planned_draft","","",""
"7","2026-09-12","19:30","Asia/Kolkata","ig","feed","carousel","1","en","Week-one practice recap","2609_d12_ig_carousel_en_sprint2_main_week_one_practice_recap","This week's practice: give a character a want, turn an emotion into an action, or change one detail in a familiar place. Pick one exercise for your next five-minute session. Save the set for later.

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","Five panels, 1080x1350 each. Cover: Three small ways to begin writing.
1. Start with a character who wants something.
2. Use a small action to suggest an emotion.
3. Change one detail in a familiar place.
4. Choose one exercise and spend five minutes on it.
5. Save this week's writing exercises.
Carousel implementation: combine the cover with item 1; use items 2-5 for panels 2-5. Single-card implementation: headline plus the three short lines; no carousel label.","save","","not_applicable","If no audience submissions exist, use this practice recap. Do not claim a community response or invent participation counts.","planned_draft","","",""
"7","2026-09-12","20:30","Asia/Kolkata","x","feed","card","1","en","Week-one practice recap","2609_d12_x_card_en_sprint2_pm_week_one_practice_recap","A quiet writing check-in: did you start a sentence, finish a paragraph, or return to an old draft this week? Any of those can be your next starting point.

#writon #writingcommunity #amwriting","1080x1080 second original card. Use the evening caption's practical idea as the headline. Do not reuse the morning caption or image unchanged.","save","","not_applicable","If no audience submissions exist, use this practice recap. Do not claim a community response or invent participation counts.","planned_draft","","",""
"7","2026-09-12","20:45","Asia/Kolkata","ig","story","story","2","en","Week-one practice recap","2609_d12_ig_story_en_sprint2_evening_week_one_practice_recap","Three small ways to begin writing.

Use tonight's exercise or question from the feed post.

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","Two 1080x1920 Story canvases, each containing an original rendered card. Frame 1: one useful detail from today's feed. Frame 2: the daily question or save/practice reminder. Do not show invented replies or counts. Localize this copy to en during review.","save","","not_applicable","If no audience submissions exist, use this practice recap. Do not claim a community response or invent participation counts.","planned_draft","","",""
"8","2026-09-13","09:00","Asia/Kolkata","x","feed","card","1","hi","Hindi dialogue challenge","2609_d13_x_card_hi_sprint2_am_hindi_dialogue_challenge","आज की चुनौती: दो लोग, एक खोई हुई चीज़। चार पंक्तियों के संवाद में दृश्य लिखिए। पहली पंक्ति क्या होगी?

#writon #हिंदीसाहित्य #लेखन","1080x1080 original card. Hook: आज सिर्फ़ चार पंक्तियों का संवाद लिखिए। Adapt it specifically to the morning caption; do not repeat the evening creative.","participation","","not_applicable","English: Two people. One missing object. Write a scene in four lines of dialogue.","planned_draft","","",""
"8","2026-09-13","12:30","Asia/Kolkata","ig","story","story","1","hi","Hindi dialogue challenge","2609_d13_ig_story_hi_sprint2_midday_hindi_dialogue_challenge","संवाद का माहौल कैसा हो?

#writon #हिंदीसाहित्य #लेखन #कहानी #writingcommunity","One 1080x1920 Story canvas with a rendered 1080x1080 card placed inside safe margins. Question: संवाद का माहौल कैसा हो? Poll choices if supported: हल्का-फुल्का / रहस्यमय. No sticker automation workaround; otherwise use the question graphic.","poll","","not_applicable","English: Two people. One missing object. Write a scene in four lines of dialogue.","planned_draft","","",""
"8","2026-09-13","19:30","Asia/Kolkata","ig","feed","card","1","hi","Hindi dialogue challenge","2609_d13_ig_card_hi_sprint2_main_hindi_dialogue_challenge","आज की छोटी चुनौती: दो लोग हैं और एक चीज़ खो गई है। सिर्फ़ चार पंक्तियों के संवाद में दृश्य लिखिए। शुरुआत कमेंट में साझा कर सकते हैं।

#writon #हिंदीसाहित्य #लेखन #कहानी #writingcommunity","One 1080x1080 card. Cover: आज सिर्फ़ चार पंक्तियों का संवाद लिखिए।
1. दो लोग। एक खोई हुई चीज़।
2. कहानी को संवाद से आगे बढ़ाइए।
3. पहली पंक्ति क्या होगी?
Carousel implementation: combine the cover with item 1; use items 2-5 for panels 2-5. Single-card implementation: headline plus the three short lines; no carousel label.","participation","","not_applicable","English: Two people. One missing object. Write a scene in four lines of dialogue.","planned_draft","","",""
"8","2026-09-13","20:30","Asia/Kolkata","x","feed","card","1","hi","Hindi dialogue challenge","2609_d13_x_card_hi_sprint2_pm_hindi_dialogue_challenge","संवाद पढ़कर देखिए: क्या दोनों पात्र एक जैसे बोलते हैं? एक पात्र के शब्द छोटे कीजिए और दूसरे को थोड़ा विस्तार से बोलने दीजिए।

#writon #हिंदीसाहित्य #लेखन","1080x1080 second original card. Use the evening caption's practical idea as the headline. Do not reuse the morning caption or image unchanged.","participation","","not_applicable","English: Two people. One missing object. Write a scene in four lines of dialogue.","planned_draft","","",""
"8","2026-09-13","20:45","Asia/Kolkata","ig","story","story","2","hi","Hindi dialogue challenge","2609_d13_ig_story_hi_sprint2_evening_hindi_dialogue_challenge","आज सिर्फ़ चार पंक्तियों का संवाद लिखिए।

Use tonight's exercise or question from the feed post.

#writon #हिंदीसाहित्य #लेखन #कहानी #writingcommunity","Two 1080x1920 Story canvases, each containing an original rendered card. Frame 1: one useful detail from today's feed. Frame 2: the daily question or save/practice reminder. Do not show invented replies or counts. Localize this copy to hi during review.","participation","","not_applicable","English: Two people. One missing object. Write a scene in four lines of dialogue.","planned_draft","","",""
"9","2026-09-14","09:00","Asia/Kolkata","x","feed","card","1","en","Verified writing walkthrough","2609_d14_x_card_en_sprint2_am_verified_writing_walkthrough","Before you open a draft, finish this sentence: “This scene changes when…” What changes in yours?

#writon #writingcommunity #amwriting","1080x1080 original card. Hook: From an idea to your next draft. Adapt it specifically to the morning caption; do not repeat the evening creative.","participation","","not_applicable","If the live writing flow fails verification, replace with a concept-to-paragraph exercise and remove all app screenshots and acquisition CTAs.","planned_draft","","",""
"9","2026-09-14","12:30","Asia/Kolkata","ig","story","story","1","en","Verified writing walkthrough","2609_d14_ig_story_en_sprint2_midday_verified_writing_walkthrough","Where do you get stuck?

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","One 1080x1920 Story canvas with a rendered 1080x1080 card placed inside safe margins. Question: Where do you get stuck? Poll choices if supported: Starting / Editing. No sticker automation workaround; otherwise use the question graphic.","poll","","not_applicable","If the live writing flow fails verification, replace with a concept-to-paragraph exercise and remove all app screenshots and acquisition CTAs.","planned_draft","","",""
"9","2026-09-14","19:30","Asia/Kolkata","ig","feed","carousel","1","en","Verified writing walkthrough","2609_d14_ig_carousel_en_sprint2_main_verified_writing_walkthrough","Keep today's goal small: turn one idea into a paragraph. This walkthrough shows the current WritOn writing flow. Explore the app on Android through the link in our bio.

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","Five panels, 1080x1350 each. Cover: From an idea to your next draft.
1. Start with a one-sentence idea.
2. Show the verified current route into the writing editor.
3. Show a new brand-owned draft; remove personal information.
4. Show the actual save/draft behavior after verifying it on the live release.
5. Explore writing on WritOn through the link in our bio.
Carousel implementation: combine the cover with item 1; use items 2-5 for panels 2-5. Single-card implementation: headline plus the three short lines; no carousel label.","app","","not_applicable","If the live writing flow fails verification, replace with a concept-to-paragraph exercise and remove all app screenshots and acquisition CTAs.","planned_draft","","",""
"9","2026-09-14","20:30","Asia/Kolkata","x","feed","card","1","en","Verified writing walkthrough","2609_d14_x_card_en_sprint2_pm_verified_writing_walkthrough","Tonight's writing goal: turn one sentence into one paragraph. Explore WritOn on Android:
{VERIFIED_X_DELIVERY_URL}

#writon #writingcommunity #amwriting","1080x1080 second original card. Use the evening caption's practical idea as the headline. Do not reuse the morning caption or image unchanged.","app","https://writon.cc/go/2609_d14_x_card_en_sprint2_pm_verified_writing_walkthrough","UNVERIFIED_PROPOSED","If the live writing flow fails verification, replace with a concept-to-paragraph exercise and remove all app screenshots and acquisition CTAs.","planned_draft","","",""
"9","2026-09-14","20:45","Asia/Kolkata","ig","story","story","2","en","Verified writing walkthrough","2609_d14_ig_story_en_sprint2_evening_verified_writing_walkthrough","From an idea to your next draft.

Explore WritOn on Android. Use the verified Story link sticker.

#writon #writingcommunity #amwriting #storytelling #writersofinstagram","Two 1080x1920 Story canvases, each containing an original rendered card. Frame 1: one useful detail from today's feed. Frame 2: one verified Android app link sticker; label the destination accurately. Do not show invented replies or counts. Localize this copy to en during review.","app","https://writon.cc/go/2609_d14_ig_story_en_sprint2_evening_verified_writing_walkthrough","UNVERIFIED_PROPOSED","If the live writing flow fails verification, replace with a concept-to-paragraph exercise and remove all app screenshots and acquisition CTAs.","planned_draft","","",""
